quarter,districtoccur,psa,race,gender,age_range,n_stopped,n_searched,n_arrested,n_contraband,n_frisked,n_intruded,quarter_dt,quarter_str,q_str,year
2015-01-01,09,1,asian,Male,55-64,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Female,25-34,14,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Male,<25,12,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Male,65+,8,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,latino,Male,55-64,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Male,35-44,7,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Male,<25,20,0,0,0,1,1,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Male,25-34,4,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Female,45-54,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Male,35-44,31,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Female,<25,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Male,25-34,39,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,latino,Male,25-34,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-04-01,09,1,black,Male,25-34,48,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Female,45-54,2,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,latino,Male,65+,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,asian,Male,<25,3,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Female,55-64,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,white,Male,45-54,30,0,1,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Male,25-34,8,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Female,<25,3,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Female,35-44,19,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Male,65+,15,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Female,<25,24,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Female,25-34,35,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Male,55-64,2,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,latino,Female,55-64,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Female,25-34,2,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,white,Female,35-44,13,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,asian,Female,<25,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,asian,Male,55-64,2,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Female,65+,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,latino,Male,<25,4,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,white,Male,25-34,68,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,asian,Male,25-34,9,1,1,0,0,1,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Male,35-44,48,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Female,65+,9,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,latino,Female,45-54,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,other_race,Male,<25,1,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,black,Male,<25,29,1,1,0,0,1,2015-04-01,2015-Q2,Q2,2015
2015-04-01,09,1,latino,Male,35-44,4,0,0,0,0,0,2015-04-01,2015-Q2,Q2,2015
