is_young,is_male,young_male,young_female,older_male,older_female,obscured_view,clock_minutes,dow,year,police_area,assigned_unit,is_summer,weight
1,1,1,0,0,0,0,1041,4,2022,39-2,39TH DISTRICT,0,0.23066630150769296
0,1,0,0,1,0,0,1080,3,2022,39-2,39TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,0,1080,0,2022,39-2,39TH DISTRICT,0,0.28505211745275416
0,0,0,0,0,1,1,1051,3,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1090,5,2022,39-3,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1180,0,2022,22-1,HIGHWAY PATROL,1,0.1180757836562851
1,0,0,1,0,0,0,1030,3,2022,35-2,35TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1185,1,2022,22-2,22ND DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,1,1105,6,2022,14-1,14TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1150,5,2022,18-1,18TH DISTRICT,0,0.30000892585298616
0,0,0,0,0,1,1,1169,2,2022,16-2,16TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1053,3,2022,16-2,16TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1169,2,2022,19-2,HIGHWAY PATROL,1,0.13304138343397498
0,0,0,0,0,1,0,1150,0,2022,19-3,HIGHWAY PATROL,1,0.1702964628634559
0,0,0,0,0,1,1,1122,3,2022,19-2,19TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1220,0,2022,39-2,39TH DISTRICT,0,0.285728561628888
0,1,0,0,1,0,1,1110,4,2022,39-2,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1106,0,2022,35-2,35TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1147,4,2022,12-4,12TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1090,1,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1128,6,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1158,6,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1183,1,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1222,1,2022,12-1,12TH DISTRICT,0,0.2902964628634559
1,0,0,1,0,0,0,1057,2,2022,18-2,18TH DISTRICT,1,0.08029646286345592
1,0,0,1,0,0,0,1080,5,2022,18-2,18TH DISTRICT,1,0.08029646286345592
1,0,0,1,0,0,0,1149,3,2022,18-1,18TH DISTRICT,1,0.14284132725595305
0,1,0,0,1,0,1,1042,4,2022,18-2,18TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1168,1,2022,18-2,18TH DISTRICT,0,0.08029646286345592
